==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
    361.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    362.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    363.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    364.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    365.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    366.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    367.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    368.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    369.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    370.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    371.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    372.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    373.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    374.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
